genotype_code	genotype_name	treatment	timepoint	trait	value	se
1	Moroberakan	Control	0 DAT	PH	33.1767	1.4059
1	Moroberakan	Control	0 DAT	TLL	22.4667	0.266667
1	Moroberakan	Control	0 DAT	TLW	0.366667	0.0166667
1	Moroberakan	Control	0 DAT	BLL	17.4667	2.16667
1	Moroberakan	Control	0 DAT	BLW	0.166667	0.0333333
1	Moroberakan	Control	0 DAT	SFW	0.446667	0.111429
1	Moroberakan	Control	0 DAT	RFW	0.2325	0.0101036
1	Moroberakan	Control	0 DAT	SDW	0.231667	0.061249
1	Moroberakan	Control	0 DAT	RDW	0.0776667	0.0178357
1	Moroberakan	Control	0 DAT	Photo	12.1067	0.275776
1	Moroberakan	Control	0 DAT	Cond	0.275104	0.00264626
1	Moroberakan	Control	0 DAT	Ci	243.117	1.05459
1	Moroberakan	Control	0 DAT	Tr	4.59309	0.0343827
1	Moroberakan	Control	0 DAT	Vpd	1.66004	0.00269403
1	Moroberakan	Control	0 DAT	CT	29.8211	0.00642886
1	Moroberakan	Control	0 DAT	RL	121.437	20.7135
1	Moroberakan	Control	0 DAT	PA	5.19093	0.740262
1	Moroberakan	Control	0 DAT	SA	16.3078	2.32567
1	Moroberakan	Control	0 DAT	AD	0.432567	0.015572
1	Moroberakan	Control	0 DAT	LPV	121.437	20.7135
1	Moroberakan	Control	0 DAT	RV	0.174333	0.0202183
1	Moroberakan	Control	0 DAT	TPS	544.667	147.368
1	Moroberakan	Control	30 DAT	PH	65.7	3.31512
1	Moroberakan	Control	30 DAT	TN	9	0
1	Moroberakan	Control	30 DAT	LN	27.6667	0.333333
1	Moroberakan	Control	30 DAT	TLL	47.8	5.53444
1	Moroberakan	Control	30 DAT	BLL	28.3	1.98578
1	Moroberakan	Control	30 DAT	TLW	1.06667	0.0881917
1	Moroberakan	Control	30 DAT	BLW	0.783333	0.101379
1	Moroberakan	Control	30 DAT	CCI_TL	331.933	8.22847
1	Moroberakan	Control	30 DAT	CCI_BL	323.633	6.58086
1	Moroberakan	Control	30 DAT	QY_TL	0.843333	0.00666667
1	Moroberakan	Control	30 DAT	QY_BL	0.826667	0.00333333
1	Moroberakan	Control	30 DAT	SFW	16.07	0.873232
1	Moroberakan	Control	30 DAT	SDWC	7.076	0.157513
1	Moroberakan	Control	30 DAT	RFW	4.68533	0.250916
1	Moroberakan	Control	30 DAT	RDW	1.91133	0.130729
1	Moroberakan	Control	30 DAT	Photo_TL	20.84	0.687778
1	Moroberakan	Control	30 DAT	Cond_TL	0.0403226	0.00421746
1	Moroberakan	Control	30 DAT	Ci_TL	308.447	6.29076
1	Moroberakan	Control	30 DAT	Tr_TL	7.18407	0.920857
1	Moroberakan	Control	30 DAT	Photo_BL	18.0019	1.06134
1	Moroberakan	Control	30 DAT	Cond_BL	0.0383203	0.00612798
1	Moroberakan	Control	30 DAT	Ci_BL	306.792	6.33193
1	Moroberakan	Control	30 DAT	Tr_BL	7.05508	1.1803
1	Moroberakan	Control	30 DAT	RL	398.545	0
1	Moroberakan	Control	30 DAT	PA	37.5633	0
1	Moroberakan	Control	30 DAT	SA	118.009	0
1	Moroberakan	Control	30 DAT	AD	0.941467	0
1	Moroberakan	Control	30 DAT	LPV	398.545	0
1	Moroberakan	Control	30 DAT	RV	2.797	0
1	Moroberakan	Control	30 DAT	TPS	1547	0
1	Moroberakan	Control	60 DAT	PH	80.8	5.35942
1	Moroberakan	Control	60 DAT	TN	14.6667	0.333333
1	Moroberakan	Control	60 DAT	LN	49.6667	3.92994
1	Moroberakan	Control	60 DAT	TLL	38.1	0.702377
1	Moroberakan	Control	60 DAT	BLL	34.9333	1.02686
1	Moroberakan	Control	60 DAT	TLW	1	0
1	Moroberakan	Control	60 DAT	BLW	1	0
1	Moroberakan	Control	60 DAT	CCI_TL	362.126	2.18617
1	Moroberakan	Control	60 DAT	CCI_BL	349.506	1.83478
1	Moroberakan	Control	60 DAT	QY_TL	0.836667	0.00333333
1	Moroberakan	Control	60 DAT	QY_BL	0.83	0
1	Moroberakan	Control	60 DAT	SFW	42.765	1.24483
1	Moroberakan	Control	60 DAT	SDWC	33.5903	1.10792
1	Moroberakan	Control	60 DAT	RFW	19.308	0.758137
1	Moroberakan	Control	60 DAT	RDW	14.3487	0.7264
1	Moroberakan	Control	60 DAT	Photo_TL	20.84	0.687778
1	Moroberakan	Control	60 DAT	Cond_TL	0.0403226	0.00421746
1	Moroberakan	Control	60 DAT	Ci_TL	308.447	6.29076
1	Moroberakan	Control	60 DAT	Tr_TL	7.18407	0.920857
