genotype_code	genotype_name	treatment	timepoint	trait_group	supp_table_printed	docx_table	trait	value	se	tukey_letters
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	35.50	0.15	defg
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.67	0.00	ab
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	22.47	0.62	bcdef
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.37	0.07	bcded
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	17.47	0.68	cd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.17	0.04	cd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.78	0.01	bcd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.45	0.13	bcdef
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.58	0.02	ab
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.20	0.01	cde
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.20	0.01	a
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.08	0.00	bcd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	12.11	1.62	c
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.28	0.03	bc
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	243.12	24.60	bc
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.59	0.55	c
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	121.44	31.43	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	5.19	1.66	fg
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.43	0.07	de
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	121.44	32.84	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.17	0.06	de
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	121.44	32.84	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	544.67	149.70	efg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	32.20	22.02	fg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	4.00	1.73	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	20.13	11.26	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.55	0.29	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	10.37	4.60	ef
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.37	0.14	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.53	0.24	bcd
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.64	0.25	abcdef
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.59	0.26	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.39	0.10	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.18	0.06	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.16	0.04	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	11.74	7.00	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.27	0.10	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	244.04	113.37	bc
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.64	2.02	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	121.71	129.76	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.77	8.51	efg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.55	0.19	abcd
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	121.71	146.52	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.30	0.29	bcde
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	121.71	146.52	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	445.33	593.78	fg
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	30.67	19.19	g
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	1.51	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	17.70	10.04	f
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.27	0.28	d
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	14.73	4.28	cdef
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.12	0.10	cd
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.82	0.21	b
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.65	0.13	abcde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.31	0.22	bc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.23	0.08	bc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.11	0.05	abc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.07	0.04	bcde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	11.68	5.10	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.27	0.07	cd
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	241.76	89.50	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.54	1.50	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	142.37	94.01	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.37	6.41	fg
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.45	0.18	cde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	142.37	107.31	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.23	0.22	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	142.37	107.31	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	622.00	570.03	ef
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	32.10	11.89	fg
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.67	0.94	ab
