genotype_name,cluster_Nstress_AL,tolerance_class,source
Moroberekan,1,susceptible,thesis Table 4.26 p132
IR83388-B-B108-3,1,susceptible,thesis Table 4.26 p132
IR77298-14-1-2-10,1,susceptible,thesis Table 4.26 p132
PUSA1121,1,susceptible,thesis Table 4.26 p132
BAM8315,1,susceptible,thesis Table 4.26 p132
BAM812,1,susceptible,thesis Table 4.26 p132
Malchi,1,susceptible,thesis Table 4.26 p132
BAM 3690,1,susceptible,thesis Table 4.26 p132
BAM 4138,1,susceptible,thesis Table 4.26 p132
BAM 4521,2,moderately tolerant,thesis Table 4.26 p132
Black gora,2,moderately tolerant,thesis Table 4.26 p132
Suweon,2,moderately tolerant,thesis Table 4.26 p132
Kunjukunju,2,moderately tolerant,thesis Table 4.26 p132
Cauvery,3,tolerant,thesis Table 4.26 p132
RPW9-4(SS1),3,tolerant,thesis Table 4.26 p132
