genotype	treatment	rep	rCCI_30	QY_BL_30
MOROBEREKAN	Control	1	0.975080	0.820000
MOROBEREKAN	Control	2	0.942797	0.830000
MOROBEREKAN	Control	3	1.008838	0.830000
IR83388-B-B108-3	Control	1	0.919405	0.820000
IR83388-B-B108-3	Control	2	0.730191	0.840000
IR83388-B-B108-3	Control	3	0.793814	0.850000
IR77298-14-1-2-10	Control	1	0.912047	0.830000
IR77298-14-1-2-10	Control	2	0.954015	0.840000
IR77298-14-1-2-10	Control	3	1.002165	0.820000
PUSA1121	Control	1	0.865529	0.840000
PUSA1121	Control	2	0.979365	0.830000
PUSA1121	Control	3	0.897006	0.850000
BAM8315	Control	1	0.962651	0.850000
BAM8315	Control	2	1.013423	0.830000
BAM8315	Control	3	0.989386	0.820000
BAM812	Control	1	1.045827	0.810000
BAM812	Control	2	1.057128	0.850000
BAM812	Control	3	0.980639	0.800000
MALCHI	Control	1	0.983756	0.820000
MALCHI	Control	2	0.865946	0.840000
MALCHI	Control	3	0.857480	0.830000
BAM3690	Control	1	0.981063	0.840000
BAM3690	Control	2	0.970741	0.830000
BAM3690	Control	3	1.063470	0.840000
BAM4138	Control	1	1.011765	0.840000
BAM4138	Control	2	0.962540	0.850000
BAM4138	Control	3	0.962352	0.840000
BAM4521	Control	1	0.959279	0.840000
BAM4521	Control	2	0.986806	0.810000
BAM4521	Control	3	0.964752	0.830000
BLACK GORA	Control	1	0.848904	0.840000
BLACK GORA	Control	2	0.678516	0.850000
BLACK GORA	Control	3	0.732218	0.850000
SUWEON	Control	1	0.989923	0.830000
SUWEON	Control	2	0.974959	0.850000
SUWEON	Control	3	0.781146	0.840000
KUNJUKUNJU	Control	1	0.869807	0.830000
KUNJUKUNJU	Control	2	0.984875	0.810000
KUNJUKUNJU	Control	3	0.847397	0.830000
CAUVERY	Control	1	0.874601	0.850000
CAUVERY	Control	2	0.980686	0.830000
CAUVERY	Control	3	1.006124	0.830000
RPW-9-(SS1)	Control	1	0.927648	0.810000
RPW-9-(SS1)	Control	2	0.783991	0.820000
RPW-9-(SS1)	Control	3	0.885004	0.820000
MOROBEREKAN	NStress	4	0.638320	0.620000
MOROBEREKAN	NStress	5	0.811536	0.620000
MOROBEREKAN	NStress	6	0.654577	0.610000
IR83388-B-B108-3	NStress	4	0.629519	0.710000
IR83388-B-B108-3	NStress	5	0.594374	0.690000
IR83388-B-B108-3	NStress	6	0.652858	0.680000
IR77298-14-1-2-10	NStress	4	0.615409	0.730000
IR77298-14-1-2-10	NStress	5	0.676336	0.680000
IR77298-14-1-2-10	NStress	6	0.563403	0.690000
PUSA1121	NStress	4	0.521664	0.680000
PUSA1121	NStress	5	0.541731	0.620000
PUSA1121	NStress	6	0.459652	0.730000
BAM8315	NStress	4	0.643634	0.650000
BAM8315	NStress	5	0.499503	0.610000
BAM8315	NStress	6	0.471711	0.610000
BAM812	NStress	4	0.769794	0.710000
BAM812	NStress	5	0.771838	0.720000
BAM812	NStress	6	0.714117	0.690000
MALCHI	NStress	4	0.572368	0.670000
MALCHI	NStress	5	0.535346	0.650000
MALCHI	NStress	6	0.487076	0.610000
BAM3690	NStress	4	0.599384	0.630000
BAM3690	NStress	5	0.513514	0.610000
BAM3690	NStress	6	0.463875	0.590000
BAM4138	NStress	4	0.827078	0.670000
BAM4138	NStress	5	0.603359	0.640000
BAM4138	NStress	6	0.557815	0.670000
BAM4521	NStress	4	0.496088	0.620000
BAM4521	NStress	5	0.623167	0.650000
BAM4521	NStress	6	0.577047	0.640000
BLACK GORA	NStress	4	0.537464	0.670000
BLACK GORA	NStress	5	0.498553	0.620000
BLACK GORA	NStress	6	0.540605	0.650000
SUWEON	NStress	4	0.467472	0.630000
SUWEON	NStress	5	0.415017	0.640000
SUWEON	NStress	6	0.406832	0.650000
KUNJUKUNJU	NStress	4	0.593126	0.590000
KUNJUKUNJU	NStress	5	0.669684	0.620000
KUNJUKUNJU	NStress	6	0.726756	0.610000
CAUVERY	NStress	4	0.568755	0.750000
CAUVERY	NStress	5	0.431174	0.720000
CAUVERY	NStress	6	0.620509	0.760000
RPW-9-(SS1)	NStress	4	0.633481	0.670000
RPW-9-(SS1)	NStress	5	0.642288	0.680000
RPW-9-(SS1)	NStress	6	0.616929	0.710000
