Genotype code,Plant ID,Genotype,Name as published by the authors,Subspecies group,Origin
1,GT001,Moroberakan,Moroberakan,Japonica,Guinea
2,GT002,IR83388-B-B108-3,IR83388-B-B108-3,Indica,India
3,GT003,IR77298-14-1-2-10,IR77298-14-1-2-10,Indica,India
4,GT004,Pusa 1121,PUSA1121,Basmati,India
5,GT005,BAM 8315,BAM8315,Basmati,India
6,GT006,BAM 812,BAM812,Basmati,India
7,GT007,Malchi,Malchi,Aus,India
8,GT008,BAM 3690,BAM 3690,Basmati,India
9,GT009,BAM 4138,BAM 4138,Basmati,India
10,GT010,BAM 4521,BAM 4521,Aus,India
11,GT011,Black Gora,Black gora,Indica,India
12,GT012,Suweon,Suweon,Japonica,Republic of Korea
13,GT013,Kunjukunju,Kunjukunju,Indica,India
14,GT014,Cauvery,Cauvery,Indica,India
15,GT015,RPW-9-4 (SS1),RPW9-4(SS1),Indica,India
