genotype_code,genotype_name,treatment,CCI_BL (s.e.),CCI_TL (s.e.),QY_BL (s.e.),QY_TL (s.e.),rCCI (s.e.),rQY (s.e.),CCI_BL (mean),CCI_TL (mean),QY_BL (mean),QY_TL (mean),rCCI (mean),rQY (mean),rCCI_30 (recomputed from Table S5),QY_BL_30 (recomputed from Table S5)
1,Moroberakan,Control,6.58,8.23,0.0,0.01,0.02,0.01,323.63,331.93,0.83,0.84,0.98,0.98,0.976,0.827
1,Moroberakan,NStress,8.46,5.38,0.0,0.01,0.06,0.01,125.8,179.77,0.62,0.7,0.7,0.89,0.701,0.617
2,IR83388-B-B108-3,Control,3.39,5.39,0.01,0.0,0.06,0.01,110.73,136.67,0.84,0.84,0.81,0.99,0.814,0.837
2,IR83388-B-B108-3,NStress,11.68,9.89,0.01,0.02,0.02,0.02,214.53,342.47,0.69,0.75,0.63,0.93,0.626,0.693
3,IR77298-14-1-2-10,Control,2.89,12.57,0.01,0.01,0.03,0.0,414.43,434.13,0.83,0.83,0.96,1.0,0.956,0.83
3,IR77298-14-1-2-10,NStress,5.85,21.59,0.02,0.03,0.03,0.03,203.27,330.7,0.7,0.75,0.62,0.93,0.618,0.7
4,PUSA1121,Control,13.86,11.99,0.01,0.01,0.03,0.02,235.47,257.6,0.84,0.84,0.91,1.0,0.914,0.84
4,PUSA1121,NStress,16.65,15.98,0.03,0.02,0.02,0.02,194.5,381.73,0.68,0.76,0.51,0.89,0.508,0.677
5,BAM8315,Control,5.19,9.91,0.01,0.01,0.01,0.01,309.73,313.63,0.83,0.84,0.99,1.0,0.988,0.833
5,BAM8315,NStress,7.24,14.23,0.01,0.01,0.05,0.02,152.47,286.0,0.62,0.69,0.54,0.9,0.538,0.623
6,BAM812,Control,5.21,9.04,0.02,0.01,0.02,0.01,212.1,206.73,0.82,0.83,1.03,0.99,1.028,0.82
6,BAM812,NStress,17.33,22.38,0.01,0.01,0.02,0.02,188.0,250.17,0.71,0.75,0.75,0.94,0.752,0.707
7,Malchi,Control,10.41,1.19,0.01,0.01,0.04,0.01,227.5,252.1,0.83,0.84,0.9,0.99,0.902,0.83
7,Malchi,NStress,4.55,12.36,0.02,0.01,0.02,0.03,125.73,237.4,0.64,0.77,0.53,0.84,0.532,0.643
8,BAM 3690,Control,3.54,6.33,0.0,0.01,0.03,0.01,153.57,153.1,0.84,0.84,1.01,1.0,1.005,0.837
8,BAM 3690,NStress,7.12,8.94,0.01,0.02,0.04,0.01,70.73,134.43,0.61,0.68,0.53,0.9,0.526,0.61
9,BAM 4138,Control,5.08,5.52,0.0,0.0,0.02,0.0,220.6,225.43,0.84,0.85,0.98,0.99,0.979,0.843
9,BAM 4138,NStress,13.61,8.89,0.01,0.01,0.08,0.02,158.63,241.57,0.66,0.73,0.66,0.9,0.663,0.66
10,BAM 4521,Control,3.84,2.14,0.01,0.01,0.01,0.01,315.9,325.57,0.83,0.82,0.97,1.01,0.97,0.827
10,BAM 4521,NStress,16.88,14.26,0.01,0.01,0.04,0.01,139.1,244.13,0.64,0.77,0.57,0.83,0.565,0.637
11,Black gora,Control,10.13,7.02,0.0,0.01,0.05,0.01,232.27,309.3,0.85,0.83,0.75,1.02,0.753,0.847
11,Black gora,NStress,9.65,16.52,0.01,0.01,0.01,0.02,146.43,278.63,0.65,0.74,0.53,0.88,0.526,0.647
12,Suweon,Control,10.35,8.32,0.01,0.0,0.07,0.0,231.47,254.07,0.84,0.85,0.92,0.98,0.915,0.84
12,Suweon,NStress,5.21,13.81,0.01,0.02,0.02,0.02,181.67,423.6,0.64,0.75,0.43,0.85,0.43,0.64
13,Kunjukunju,Control,10.85,7.15,0.01,0.01,0.04,0.01,369.1,410.47,0.82,0.84,0.9,0.98,0.901,0.823
13,Kunjukunju,NStress,11.27,17.25,0.01,0.01,0.04,0.01,254.67,385.37,0.61,0.73,0.66,0.84,0.663,0.607
14,Cauvery,Control,6.84,17.99,0.01,0.0,0.04,0.01,417.93,439.6,0.84,0.85,0.95,0.98,0.954,0.837
14,Cauvery,NStress,7.48,16.56,0.01,0.01,0.06,0.01,140.43,263.3,0.74,0.8,0.54,0.93,0.54,0.743
15,RPW9-4(SS1),Control,15.24,8.31,0.0,0.01,0.04,0.01,235.9,272.37,0.82,0.83,0.87,0.99,0.866,0.817
15,RPW9-4(SS1),NStress,11.69,16.78,0.01,0.01,0.01,0.02,203.73,322.8,0.69,0.77,0.63,0.89,0.631,0.687
