# Table S5. Plant-level rCCI_30 and QY_BL_30, 30 days after transplanting, n = 90.
# PROVENANCE: recovered by cell-by-cell transcription from the rendered heat-map figures of the source package (ref 29); the source matrix has not been released.
# RESOLUTION: every value carries two decimal places; each number stands for an interval of width 0.01.
# Sensitivity of every downstream result to that rounding is in Table S6.
genotype_code,genotype,treatment,rep,rCCI_30,QY_BL_30
1,MOROBEREKAN,Control,1,0.97508,0.82
1,MOROBEREKAN,Control,2,0.942797,0.83
1,MOROBEREKAN,Control,3,1.008838,0.83
2,IR83388-B-B108-3,Control,1,0.919405,0.82
2,IR83388-B-B108-3,Control,2,0.730191,0.84
2,IR83388-B-B108-3,Control,3,0.793814,0.85
3,IR77298-14-1-2-10,Control,1,0.912047,0.83
3,IR77298-14-1-2-10,Control,2,0.954015,0.84
3,IR77298-14-1-2-10,Control,3,1.002165,0.82
4,PUSA1121,Control,1,0.865529,0.84
4,PUSA1121,Control,2,0.979365,0.83
4,PUSA1121,Control,3,0.897006,0.85
5,BAM8315,Control,1,0.962651,0.85
5,BAM8315,Control,2,1.013423,0.83
5,BAM8315,Control,3,0.989386,0.82
6,BAM812,Control,1,1.045827,0.81
6,BAM812,Control,2,1.057128,0.85
6,BAM812,Control,3,0.980639,0.8
7,MALCHI,Control,1,0.983756,0.82
7,MALCHI,Control,2,0.865946,0.84
7,MALCHI,Control,3,0.85748,0.83
8,BAM3690,Control,1,0.981063,0.84
8,BAM3690,Control,2,0.970741,0.83
8,BAM3690,Control,3,1.06347,0.84
9,BAM4138,Control,1,1.011765,0.84
9,BAM4138,Control,2,0.96254,0.85
9,BAM4138,Control,3,0.962352,0.84
10,BAM4521,Control,1,0.959279,0.84
10,BAM4521,Control,2,0.986806,0.81
10,BAM4521,Control,3,0.964752,0.83
11,BLACK GORA,Control,1,0.848904,0.84
11,BLACK GORA,Control,2,0.678516,0.85
11,BLACK GORA,Control,3,0.732218,0.85
12,SUWEON,Control,1,0.989923,0.83
12,SUWEON,Control,2,0.974959,0.85
12,SUWEON,Control,3,0.781146,0.84
13,KUNJUKUNJU,Control,1,0.869807,0.83
13,KUNJUKUNJU,Control,2,0.984875,0.81
13,KUNJUKUNJU,Control,3,0.847397,0.83
14,CAUVERY,Control,1,0.874601,0.85
14,CAUVERY,Control,2,0.980686,0.83
14,CAUVERY,Control,3,1.006124,0.83
15,RPW-9-(SS1),Control,1,0.927648,0.81
15,RPW-9-(SS1),Control,2,0.783991,0.82
15,RPW-9-(SS1),Control,3,0.885004,0.82
1,MOROBEREKAN,NStress,4,0.63832,0.62
1,MOROBEREKAN,NStress,5,0.811536,0.62
1,MOROBEREKAN,NStress,6,0.654577,0.61
2,IR83388-B-B108-3,NStress,4,0.629519,0.71
2,IR83388-B-B108-3,NStress,5,0.594374,0.69
2,IR83388-B-B108-3,NStress,6,0.652858,0.68
3,IR77298-14-1-2-10,NStress,4,0.615409,0.73
3,IR77298-14-1-2-10,NStress,5,0.676336,0.68
3,IR77298-14-1-2-10,NStress,6,0.563403,0.69
4,PUSA1121,NStress,4,0.521664,0.68
4,PUSA1121,NStress,5,0.541731,0.62
4,PUSA1121,NStress,6,0.459652,0.73
5,BAM8315,NStress,4,0.643634,0.65
5,BAM8315,NStress,5,0.499503,0.61
5,BAM8315,NStress,6,0.471711,0.61
6,BAM812,NStress,4,0.769794,0.71
6,BAM812,NStress,5,0.771838,0.72
6,BAM812,NStress,6,0.714117,0.69
7,MALCHI,NStress,4,0.572368,0.67
7,MALCHI,NStress,5,0.535346,0.65
7,MALCHI,NStress,6,0.487076,0.61
8,BAM3690,NStress,4,0.599384,0.63
8,BAM3690,NStress,5,0.513514,0.61
8,BAM3690,NStress,6,0.463875,0.59
9,BAM4138,NStress,4,0.827078,0.67
9,BAM4138,NStress,5,0.603359,0.64
9,BAM4138,NStress,6,0.557815,0.67
10,BAM4521,NStress,4,0.496088,0.62
10,BAM4521,NStress,5,0.623167,0.65
10,BAM4521,NStress,6,0.577047,0.64
11,BLACK GORA,NStress,4,0.537464,0.67
11,BLACK GORA,NStress,5,0.498553,0.62
11,BLACK GORA,NStress,6,0.540605,0.65
12,SUWEON,NStress,4,0.467472,0.63
12,SUWEON,NStress,5,0.415017,0.64
12,SUWEON,NStress,6,0.406832,0.65
13,KUNJUKUNJU,NStress,4,0.593126,0.59
13,KUNJUKUNJU,NStress,5,0.669684,0.62
13,KUNJUKUNJU,NStress,6,0.726756,0.61
14,CAUVERY,NStress,4,0.568755,0.75
14,CAUVERY,NStress,5,0.431174,0.72
14,CAUVERY,NStress,6,0.620509,0.76
15,RPW-9-(SS1),NStress,4,0.633481,0.67
15,RPW-9-(SS1),NStress,5,0.642288,0.68
15,RPW-9-(SS1),NStress,6,0.616929,0.71
