Genotype code,Genotype,"Cluster (average linkage, low N)",Tolerance class,Source
1,Moroberekan,1,susceptible,Published for this experiment [29]
2,IR83388-B-B108-3,1,susceptible,Published for this experiment [29]
3,IR77298-14-1-2-10,1,susceptible,Published for this experiment [29]
4,PUSA1121,1,susceptible,Published for this experiment [29]
5,BAM8315,1,susceptible,Published for this experiment [29]
6,BAM812,1,susceptible,Published for this experiment [29]
7,Malchi,1,susceptible,Published for this experiment [29]
8,BAM 3690,1,susceptible,Published for this experiment [29]
9,BAM 4138,1,susceptible,Published for this experiment [29]
10,BAM 4521,2,moderately tolerant,Published for this experiment [29]
11,Black gora,2,moderately tolerant,Published for this experiment [29]
12,Suweon,2,moderately tolerant,Published for this experiment [29]
13,Kunjukunju,2,moderately tolerant,Published for this experiment [29]
14,Cauvery,3,tolerant,Published for this experiment [29]
15,RPW9-4(SS1),3,tolerant,Published for this experiment [29]
