b_rCCI,b_QYBL,threshold
-2.91697,-4.04367,0.76
-3.66795,-5.41217,0.76
-3.27985,-6.9142,0.73
-3.45591,-6.59161,0.73
-4.07532,-5.02922,0.76
-3.93194,-6.18071,0.76
-4.02223,-4.85127,0.76
-2.76308,-5.63382,0.75
-3.36305,-6.38615,0.76
-2.90583,-5.80154,0.73
-3.38938,-4.27017,0.76
-3.76735,-4.81825,0.76
-3.35782,-5.46269,0.76
-3.93823,-4.88135,0.76
-3.2966,-4.65952,0.76
-2.76808,-4.61536,0.76
-3.7058,-5.83062,0.76
-4.73594,-6.62339,0.75
-2.62515,-5.10636,0.76
-2.44855,-4.59933,0.76
-3.68269,-6.65961,0.75
-2.66774,-4.50761,0.76
-2.58693,-6.80318,0.72
-3.08931,-5.16196,0.76
-4.45223,-6.51851,0.75
-2.60709,-4.80691,0.76
-3.10829,-5.2797,0.76
-3.398,-5.3833,0.75
-3.05045,-5.18043,0.75
-3.56057,-6.63963,0.76
-3.4938,-5.14545,0.76
-3.72812,-5.28951,0.73
-2.65782,-4.40428,0.76
-1.28628,-5.43826,0.75
-4.54385,-6.3519,0.75
-4.0126,-5.57791,0.76
-2.15733,-4.84749,0.76
-3.84822,-5.36167,0.75
-1.89932,-5.19275,0.73
-4.45117,-5.41898,0.75
-1.88101,-5.34497,0.76
-2.66146,-4.85774,0.75
-3.05707,-4.77068,0.75
-2.40344,-4.54657,0.76
-3.22415,-4.64587,0.76
-2.77431,-5.04414,0.76
-3.9769,-5.69755,0.76
-2.84249,-5.41453,0.76
-4.31568,-6.38867,0.73
-3.29745,-4.66457,0.76
-3.76576,-7.90193,0.73
-3.71348,-5.79359,0.76
-3.09692,-4.02958,0.76
-3.50852,-3.97432,0.76
-3.2991,-5.28305,0.76
-3.92057,-4.83567,0.76
-2.54552,-4.85761,0.76
-2.61731,-4.60545,0.76
-4.18193,-5.0178,0.76
-2.15524,-6.35124,0.76
-4.42692,-6.41149,0.75
-3.53707,-4.95637,0.75
-3.35168,-6.08207,0.75
-3.46315,-6.02401,0.76
-3.18629,-3.92076,0.76
-3.97525,-5.52693,0.76
-3.89968,-5.32966,0.76
-3.18064,-5.4446,0.76
-3.04885,-5.88719,0.73
-4.18186,-5.36419,0.76
-3.94079,-4.73505,0.76
-3.73588,-4.8831,0.76
-3.53182,-5.53565,0.76
-2.90237,-5.59585,0.76
-3.84116,-7.07258,0.73
-2.49838,-6.5367,0.73
-2.62369,-6.2002,0.75
-3.65879,-4.84494,0.76
-3.43463,-4.13737,0.76
-2.75412,-5.37411,0.72
-3.95779,-5.96489,0.75
-2.91732,-5.58276,0.76
-2.94427,-5.33276,0.76
-2.50714,-5.76578,0.76
-1.53652,-6.21224,0.76
-2.67558,-5.33884,0.75
-3.73165,-5.23174,0.76
-3.5815,-4.1794,0.75
-3.69382,-5.39924,0.76
-3.77889,-7.86058,0.73
-3.90502,-4.96617,0.76
-3.94463,-5.71282,0.75
-2.7758,-5.45508,0.76
-2.83155,-5.39792,0.76
-3.73237,-6.75547,0.73
-2.4428,-4.61896,0.76
-4.98968,-5.92717,0.75
-4.16108,-5.2857,0.75
-4.68418,-5.50659,0.75
-4.35744,-6.47891,0.75
-4.27058,-5.24525,0.76
-2.50329,-5.01164,0.75
-3.25543,-4.36427,0.76
-4.08785,-6.25631,0.76
-3.82697,-5.8286,0.76
-3.39975,-5.21405,0.75
-4.41052,-6.52086,0.73
-3.37912,-5.6653,0.75
-5.07762,-6.23071,0.73
-3.91792,-5.96256,0.75
-2.3347,-4.79316,0.76
-3.13228,-4.07463,0.76
-3.73386,-5.47985,0.76
-2.49854,-4.84217,0.75
-2.81301,-4.48151,0.76
-3.19463,-5.49671,0.76
-3.26275,-5.39142,0.76
-3.21248,-6.23006,0.76
-3.76128,-5.95433,0.76
-3.36971,-4.66716,0.76
-3.34498,-4.74866,0.76
-3.13961,-4.61869,0.76
-3.41644,-4.56486,0.76
-3.07201,-5.13677,0.75
-3.65023,-5.35277,0.76
-2.93187,-3.92954,0.76
-3.46,-4.27272,0.76
-3.74653,-7.97073,0.72
-2.29288,-5.32912,0.76
-3.64983,-5.95702,0.76
-3.02332,-5.72305,0.73
-3.96088,-5.26444,0.76
-2.73415,-4.36573,0.76
-3.40949,-6.11217,0.73
-2.42564,-4.3487,0.75
-3.45901,-4.8661,0.76
-2.87643,-6.72894,0.73
-3.09007,-5.21043,0.76
-2.46449,-5.56731,0.76
-2.42295,-4.77276,0.76
-4.30903,-5.28827,0.73
-3.88397,-5.38538,0.76
-2.58861,-4.9228,0.76
-3.77544,-7.23616,0.73
-3.27181,-6.61509,0.76
-4.10545,-5.58714,0.75
-4.89912,-5.43202,0.76
-3.43385,-5.57031,0.76
-3.36154,-4.66035,0.76
-3.19062,-4.41996,0.76
-2.51596,-5.84844,0.73
-3.1287,-7.35028,0.72
-3.33157,-5.1257,0.75
-4.42188,-5.60057,0.76
-3.33365,-6.25527,0.76
-4.76451,-5.62008,0.73
-3.19241,-4.57405,0.76
-3.37192,-4.45453,0.76
-4.96746,-7.11464,0.75
-3.80561,-5.02652,0.76
-4.19373,-7.52655,0.76
-2.87659,-4.63214,0.76
-2.6557,-4.84753,0.76
-3.98216,-5.13086,0.76
-2.87304,-4.60336,0.76
-4.11133,-5.12996,0.76
-2.90238,-5.10982,0.76
-2.81774,-5.67601,0.76
-3.0417,-6.02643,0.72
-2.58621,-6.56918,0.73
-3.6244,-5.87401,0.76
-2.90923,-5.61692,0.75
-2.7646,-5.53555,0.76
-2.24521,-5.34123,0.76
-2.16003,-6.06616,0.76
-4.02896,-5.72073,0.75
-2.98771,-5.08762,0.76
-2.43466,-5.00679,0.76
-3.69581,-5.50959,0.76
-2.55218,-4.79407,0.76
-3.85242,-4.31808,0.75
-3.25685,-4.83725,0.76
-2.83366,-5.85166,0.75
-2.94881,-4.96638,0.76
-3.44037,-5.18323,0.75
-3.34445,-4.66819,0.76
-4.86923,-5.37217,0.76
-2.89171,-4.92129,0.75
-3.53484,-4.44832,0.76
-3.1803,-5.0001,0.76
-3.96651,-6.09555,0.76
-4.04126,-4.9948,0.76
-3.48143,-5.55327,0.76
-2.85142,-5.30779,0.76
-2.69109,-6.87525,0.75
-2.21645,-5.88365,0.72
-3.78172,-5.79839,0.76
-3.15381,-5.66712,0.76
-3.34041,-4.89429,0.76
-3.14181,-5.03866,0.75
-3.61516,-5.28991,0.76
