trait,timepoint,mean_control,mean_lowN,cohens_d,overlap,t,p
CCI_TL,30 DAT,288.18,286.804,0.0160477,0.940249,0.0439485,0.965265
CCI_BL,30 DAT,267.356,166.647,1.42585,0.414557,3.90484,0.000825432
QY_TL,30 DAT,0.838222,0.742222,4.04548,0,11.079,5.37165e-09
QY_BL,30 DAT,0.832445,0.659333,5.93306,0,16.2483,4.63905e-11
rCCI,30 DAT,0.928112,0.587883,4.24737,0,11.6319,4.10285e-12
rQY,30 DAT,0.993267,0.888605,3.94418,0,10.8016,7.46424e-09
dCCI,30 DAT,20.8244,120.158,-2.68442,0.0932739,-7.35158,5.99026e-07
dQY,30 DAT,0.00577777,0.0828888,-3.80188,0,-10.4119,9.65179e-09
CCI_TL,60 DAT,352.28,284.674,1.44898,0.530687,3.96821,0.000616163
CCI_BL,60 DAT,312.66,197.286,2.33594,0.223932,6.39724,6.48411e-07
QY_TL,60 DAT,0.838445,0.766667,3.75716,0,10.2894,2.46291e-08
QY_BL,60 DAT,0.830667,0.674,6.75678,0,18.5042,6.21398e-12
rCCI,60 DAT,0.894538,0.69474,1.43213,0.258231,3.92205,0.000648534
rQY,60 DAT,0.990785,0.879867,3.47878,0,9.52702,1.12076e-07
dCCI,60 DAT,39.6196,87.3875,-1.10512,0.456281,-3.0265,0.00533242
dQY,60 DAT,0.00777778,0.0926666,-3.31776,0,-9.08607,1.98387e-07
