model,correct,n,accuracy,acc_ci_lo,acc_ci_hi,sensitivity,specificity,TP,TN,FP,FN,genotype_folds_perfect,n_folds,fold_ci_lo,fold_ci_hi
QY_BL_30 threshold (fit per fold),88,90,0.977778,0.922022,0.997297,0.955556,1,43,45,0,2,14,15,0.680515,0.998314
rCCI_30 Wu-2024 fixed cutoff 0.909,75,90,0.833333,0.740049,0.903609,1,0.666667,45,30,15,0,7,15,0.212667,0.734139
rCCI_30 threshold (fit per fold),81,90,0.9,0.81864,0.953245,0.866667,0.933333,39,42,3,6,9,15,0.32287,0.836636
LDA,90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
Logistic regression,90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
"Ridge logistic (L2, C=1.0)",86,90,0.955556,0.890099,0.987759,0.933333,0.977778,42,44,1,3,12,15,0.519109,0.956688
QDA,90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
"Shrinkage LDA (RDA proxy, lsqr+auto)",90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
Gaussian Naive Bayes,90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
Linear SVM (C=1.0),90,90,1,0.959841,1,1,1,45,45,0,0,15,15,0.781981,1
