trait,logocv_accuracy
Cond_BL,1
rTr,0.966667
rQY,0.966667
rPhoto,0.966667
dQY,0.966667
Tr_BL,0.966667
QY_TL,0.966667
QY_BL,0.966667
rCond,0.933333
rCCI,0.933333
TN,0.9
Photo_BL,0.9
LN,0.9
dCCI,0.866667
SDWC,0.866667
CCI_BL,0.866667
SFW,0.833333
BLW,0.833333
Cond_TL,0.8
BLL,0.733333
TLW,0.7
rLW,0.666667
TLL,0.666667
Photo_TL,0.666667
PH,0.633333
rCi,0.6
TPS,0.6
RFW,0.6
RDW,0.6
LPV,0.6
rLL,0.566667
SA,0.566667
RL,0.566667
PA,0.566667
Tr_TL,0.533333
Ci_BL,0.533333
Ci_TL,0.5
AD,0.433333
RV,0.366667
CCI_TL,0.2
